Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
دمك,وهي كلمه تقال عند الذهاب للأكل,Western,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ماذا تعني كلمة ""دمك"" في اللهجة الحجازية؟ 
الاختيارات: 
أ) لم أتناول الطعام بعد 
ب) هيا لنذهب للأكل 
ج) هذا غير مهم 
د) تحية للأصدقاء",ب
دندن,هي كلمة تستخدم للتعزيز للزقرت ، وهي بمعنى اطنخ / اي افعل مايحلو لك .,Central,"### اختبار ""دندن""
#### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة.
السؤال: ما معنى كلمة ""دندن"" في اللهجة السعودية؟
الخيارات:
A) اترك الأمر كما هو 
B) تعزيز للزقرت 
C) الاستسلام 
D) التدريب المستمر",B
دندون,دندون تعني : الرجال الشجاع ( كفو ) او الرجال الذي يمكنك الاعتماد عليه,General,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""دندون""؟ 
الخيارات: 
A) رجل ضعيف 
B) رجل شجاع 
C) رجل خائن 
D) رجل عادي",B
دهدره,تعني الرجل الذي لايمكن الاعتماد عليه مطلقا. عكس (تكانه),Central,"المهمة: حدد المعنى الصحيح لكلمة 'دهدره'.
السؤال: ما هو المعنى الصحيح لكلمة 'دهدره'؟
الخيارات:
أ) شخص يعتمد عليه
ب) شخص لا يمكن الاعتماد عليه
ج) شخص ذكي
د) شخص شجاع",ب
دوجان,دوجان تعني نسكع تمشي وفعلها يدوج يتسكع ، يمشي دون هدف,Central,"### نوع السؤال: معنى
المهمة: اختر الجواب الصحيح فقط بدون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""دوجان""؟ 
الخيارات: 
A) المشي بلا هدف 
B) السقوط 
C) الحديث مع الأصدقاء 
D) الطهي",A
دولب,دولب: تعني أدار المسار بمفك البراغي.,Central,"### نوع السؤال: معنى
المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""دولب""؟ 
الخيارات: 
A) وهي تعني دوران المسار بالمفك. 
B) تعني إغلاق الباب. 
C) تعني أداة للقياس. 
D) تعني سترة..",A
دي,تقال هذه الكلمة عند اللعب مع الطفل الصغير الذي لا يتكلم حتى الآن، أختبئ عنه وأظهر وأقول له هذه الكلمة، وعادة تنطق مع شدة ومد: (ديّ)، وتقابلها كلمة أهل شرق الخليج العربي: (تاا) أو (تيَّاا).,Central,"### نوع السؤال: معنى
- المهمة: اختر الإجابة الصحيحة.
- السؤال: ما معنى كلمة ""دي"" في اللهجة السعودية؟
- الخيارات: 
 A) كلمة تستخدم عند اللعب مع الأطفال 
 B) تعني ""أذهب"" 
 C) تعني ""أنا هنا"" 
 D) كلمة تستخدم في الطهي 
-",A
هيتونا,"""هيتونا"" . مصلح عامي بمعني (تعالوا إلينا) هذا في الجمع . heatona ويقال للشخص الواحد ""هيتنا"" أي ( تعال إلينا ) heatna ويقال ""هيت به معك"" أي ( ائت به معك ) heat",Southern,"المهمة: حدد المعنى الصحيح لكلمة 'هيتونا'.
السؤال: ما معنى 'هيتونا' في اللهجة السعودية؟
الخيارات:
أ) ائتنا غداً
ب) تعالوا إلينا
ج) ائت به معك
د) اجلس هنا",ب
ديرم,الديرم هو عبارة عن قطعه من لحاء الشجر تستخدم على الشفايف لزينة النساء ذات لون بني الى بني غامق ويحل محلها الروج حاليا,Central,"المهمة: تحديد المعنى الدقيق لكلمة 'ديرم'.
السؤال: ماذا تعني كلمة 'ديرم'؟
الخيارات:
أ) لون أحمر يستخدم للدهان
ب) قطعة من لحاء الشجر تستخدم لتزين الشفايف
ج) نوع من الطعام
د) نوع من الملابس",ب
ذافي,ماحولك احد، غبي ، فاهي,Southern,"### نوع السؤال: معنى
- المهمة: اختر الجواب الصحيح.
- السؤال: ما معنى كلمة ""ذافي"" في اللهجة السعودية؟
- الخيارات:
 A) ذكي 
 B) غبي 
 C) نشيط 
 D) مهذب 
-",B
ذل,خاف,Southern,"### نوع السؤال: معنى 
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""ذل"" في اللهجة النجدية؟ 
الخيارات: 
A) مشى 
B) خاف 
C) لعب 
D) نام) خاف",B
ذنبة,الذنبة هي المؤخرة ,Western,"المهمة: حدد المعنى الصحيح لكلمة 'ذنبة'.
السؤال: ما هو المعنى الصحيح لكلمة 'ذنبة'؟
الخيارات:
أ) الخاتم في اليد
ب) الشعر الطويل
ج) المؤخرة
د) الفستان",ج
قافلة,يعني المزاج غير رايق أو غضبان أو زعلان,Western,"المهمة: حدد المعنى الصحيح لكلمة 'قافلة'.
السؤال: ماذا تعني كلمة 'قافلة' في اللهجة الحجازية؟
الخيارات:
أ) تعني المزاج غير رايق أو غضبان أو زعلان
ب) تعني مجموعة من الناس
ج) تعني الرحلة الطويلة
د) تعني مكان للاختباء",أ
رذاذ,اسم,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'رذاذ'.
السؤال: ما هو معني كلمة 'رذاذ'؟
الخيارات:
أ) ضباب
ب) مطر خفيف
ج) عاصفة
د) غيم",ب
رمك,الخيل,Central,"المهمة: حدد المعنى الصحيح لكلمة 'رمك'.
السؤال: ماذا تعني كلمة 'رمك'؟
الخيارات:
أ) الشجرة
ب) الخيل
ج) الجمل
د) الطائر",ب
رهيف,كلمه تعني للشئ النحييل والسخيف,Central,"المهمة: حدد المعنى الصحيح لكلمة 'رهيف'.
السؤال: ماذا تعني كلمة 'رهيف'؟
الخيارات:
أ) ضخم
ب) نحييل
ج) قوي
د) سريع",ب
روقنا,كلمة يستخدمها الشخص عندما يطلب من اي احد ان لا يضغط عليه في امر ما او ان يقلع عن امر .,Western,"### تقييم فهم الكلمة ""روقنا"" 
#### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة.
السؤال: ما معنى كلمة ""روقنا"" في اللهجة الحجازية؟
الخيارات:
A) طلب المساعدة 
B) طلب التوقف عن الضغط 
C) دعوة للاحتفال 
D) التعبير عن السعادة",B
رياري,لعاب الفم,General,"### نوع السؤال: معنى 
- المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
- السؤال: ما هو معنى كلمة ""رياري""؟
- الخيارات:
 A) ماء الفم 
 B) لعاب الفم 
 C) طعام الفم 
 D) رائحة الفم 
-",B
زاهب,جاهز,General,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة.
السؤال: ما معنى كلمة ""زاهب"" في اللهجة السعودية؟
الاختيارات:
A) مستعد 
B) غاضب 
C) سعيد 
D) حزين",A
زبد له,التسليك,General,"### مقياس فهم الكلمة
#### نوع السؤال: معنى 
- المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
- السؤال: ما هو معنى كلمة ""زبد له""؟ 
- الخيارات: 
 A) التفاهم 
 B) التسليك 
 C) التهذيب 
 D) الاستشارة 
-",B
زبّر,بمعنى طنش,Western,"### نوع السؤال: معنى
- المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية.
- السؤال: ما هو معنى كلمة ""زبّر"" في اللهجة الحجازية؟
- الخيارات:
 A) شجع 
 B) طنش 
 C) استمع 
 D) فهم 
-",B
زبنة,قم بالاختباء,General,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""زبنة""؟ 
الخيارات: 
A) سماع 
B) قم بالاختباء 
C) المشي 
D) تناول الطعام",B
زتت,كلمه حساويه وتعني اسرع,General,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط بدون أي ملاحظات إضافية. 
السؤال: ما هو معنى كلمة ""زتت""؟ 
الخيارات: 
A) تعني ""ببطء"" 
B) تعني ""اسرع"" 
C) تعني ""توقف"" 
D) تعني ""اذهب""",B
زتك,اسرع او استعجل,General,"### نوع السؤال: معنى 
المهمة: اختر الإجابة الصحيحة. 
السؤال: ما معنى كلمة ""زتك"" في اللهجة السعودية؟ 
الخيارات: 
A) استرخاء 
B) اسرع أو استعجل 
C) توقف 
D) ابحث",B
زح,"""زِح"" كلمة نجدية خاصة بأهل القصيم، وتستخدم عند الطلب من شخص أن يفسح لك المجال لكي تجلس في مكان ما.",Central,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""زِح"" في اللهجة النجدية؟ 
الخيارات: 
A) انتقل بسرعة 
B) أفسح لي المجال 
C) اذهب بعيداً 
D) اجلس هنا",B
فَكِّر,كلمة تبوكية يقولها أهل تبوك ، فَكِّر هناك! بمعنى انظر هناك,Northern,"المهمة: حدد المعنى الصحيح لكلمة 'فَكِّر'.
السؤال: ما هو المعنى الحقيقي لكلمة 'فَكِّر' باللغة السعودية؟
الخيارات:
أ) انظر هناك
ب) فكر في الأمر
ج) اذهب بعيداً
د) استقر هنا",أ
"زرب , يزرب",زرب اي بمعنى من يزرب اي يمن مأخوذة من كلمة المن اي الْمَنُّ : تعداد الفضل والاحسان اي يَمُنُّ بِمَا أَعْطَى,Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""يزرب"" في اللهجة السعودية؟ 
الخيارات: 
A) يمنح الخير أو العطاء 
B) يسرق أو يغتصب 
C) يبيع أو يشتري 
D) يتحدث أو يتواصل",A
زره او زغره,"زره او زغره , تقريبا نفس المعنى لكن تساخدمها قبائل مختلفة زَرهْ او ازره او ازرها او يَزُرٌهْ او يَزُرَهَا او يزَرُونَهْ او يزَرُونَهًا و الماضي: زرني, زريته, زرتني, زريتها, زروني ,زريتهم . نفس النمد : زَغَرْهْ او يَزْغُرُهْ او يَزْغَرْها او يزغرُونه او يزغرُونها و الماضي : زغرته او زغرتها او زغرتهم او زغروني كلاهما بمعنى = النظره الحادة او الحاقدة او المتوعدة ""الزغره اقوى من الزره""",Western,"### نوع السؤال: معنى 
المهمة: اختر فقط إجابة واحدة بدون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""زره او زغره""؟ 
الخيارات: 
A) النظرة الجيدة 
B) النظرة الحادة أو الحاقدة 
C) التعجب من الموقف 
D) الشك في الأمور",B
زريت,تأتي بمعنيين: الاول :تعبت من شخص بأستخدام كل الوسائل ولم أحصل على نتيجه او من جهاز في يدي ولم أستفيد منه بنيجه والمعنى الاخر :السخريه من شخص وأصاب بالبلاء نفسه,Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ماذا تعني كلمة ""زريت"" في اللهجة السعودية؟ 
الخيارات: 
A) حققت نجاحاً مع شخص 
B) تعبت من شخص أو جهاز 
C) أضعت وقتي بلا جدوى 
D) أسعدت أحدهم",B
زعبوط,الملابس الشتوية الداخلية,Western,"### نوع السؤال: معنى
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""زعبوط""؟ 
الخيارات: 
A) ملابس صيفية 
B) ملابس شتوية داخلية 
C) نوع من الأحذية 
D) إكسسوارات للشتاء",B
زعرني,زعرني يعني اعطاني عين الزعور !,Central,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ما معنى ""زعرني""؟ 
الخيارات: 
A) أعطاني لعبة 
B) أعطاني عين الزعور 
C) أزعجني 
D) ساعدني",B
زعلانه,حزينة,Western,"### نوع السؤال: معنى
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""زعلانه""؟ 
الخيارات: 
A) سعيدة 
B) حزينة 
C) غاضبة 
D) متفائلة",B
زغاديد,زغاديد ومُزغْدِد ويُزغدِد وزغدد الفعل منه يتعدى بحرف الجر ب فيقال زغدد ب ويزغدد ب وتستخدم أحيانا دون حرف جر ولها أصل في العربية : الزاء والغين والدال أُصَيْلٌ يدل على تعصُّر في صوتٍ. وأصلهُ زغد عُكَّتَه، إذا عَصَرَها ليُخرِجَ سَمْنَها. ومنه صارت الدوائر التي تخرج أعلى الحليب إذا سخن أو الجريش إذا صب عليه اللبن باردا زغاديد وبالأمثلة سيتضح المعنى أكثر.,Central,"### 1. نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""زغاديد""؟ 
الخيارات: 
A) قطرات صغيرة من الماء 
B) تجمعات صغيرة على شكل كور 
C) نوع من الطعام التقليدي 
D) أدوات منزلية",B
زقم,الذقن أو الحنك.,Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""زقم""؟ 
الخيارات: 
A) الأنف 
B) الحنك 
C) الجبين 
D) الخد",B
زكاة,هى مبلغ من المال يدفعها الغني الى الفقراء كل عام قيمتها=\ من المال المخزون,General,"### نوع السؤال: معنى
المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""زكاة""؟ 
الخيارات: 
A) مبلغ من المال يدفعه الفقير للغني 
B) مبلغ من المال يدفعه الغني للفقراء 
C) نوع من الطعام 
D) عبادة من العبادات اليومية",B
زكن,زكن: (فعل)، وتعني الآتي: - نبه - ذكر - وصى,Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
السؤال: ما معنى كلمة ""زكن"" في اللهجة النجدية؟ 
الخيارات: 
A) نبه 
B) أكل 
C) شرب 
D) ذهب",A
زمزميه,هي الحافظه للماء او لأي مشروب .,Southern,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""زمزميه""؟ 
الخيارات: 
A) الحافظة للماء أو لأي مشروب 
B) وعاء للغذاء 
C) نوع من الفواكه 
D) ملابس تقليدية",A
كوداندسفيذا,كلمة قصيميه تعني : سأختبيء هنا,Central,"المهمة: حدد المعنى الصحيح لكلمة 'كوداندسفيذا'.
السؤال: ما معنى كلمة 'كوداندسفيذا'؟
الخيارات:
أ) سأختبئ هنا
ب) سأنام هنا
ج) سأذهب هناك
د) سأأكل الآن",أ
زهمله,زَهْمِل ، زَهْمَلَه ، مِزَهْمَل ، تِزَهْمِل الزهملة هي عمل الشيء دون اتقان ثم رفعه ليبدو للناظر شيئًا حسنًا ومتقنًا وهو خلاف ذلك.,Central,"المهمة: حدد المعنى الصحيح لكلمة 'زهمله'.
السؤال: ما معنى كلمة 'زهمله' في اللهجة السعودية؟
الخيارات:
أ) العمل بإتقان واهتمام.
ب) عمل الشيء دون اتقان ثم رفعه ليبدو حسنًا.
ج) شيء ذو جودة عالية.
د) عدم الاهتمام في العمل.",ب
زواع,استفراغ,Central,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ما هو معنى الكلمة ""زواع""؟ 
الخيارات: 
A) نوم 
B) استفراغ 
C) طعام 
D) ضحك) استفراغ",B
فكفكها,بمعنى خربها,Western,"المهمة: حدد المعنى الصحيح لكلمة 'فكفكها'.
السؤال: ما هو المعنى الصحيح لكلمة 'فكفكها'؟
الخيارات:
أ) أصلحها
ب) خربها
ج) عززها
د) جددها",ب
سارح,تستخدم لوصف الذهاب مبكرا في الصباح وفعلها الماضي سَرَح واحيانا تستخدم في وصف من فتح موضوع لا احد يريد التحدث فيه فيقولون سرح فلان فيقصدون أنه بدأ من الصباح ولن يتوقف النقاش,Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما هو معنى كلمة ""سارح"" في اللهجة السعودية؟ 
الخيارات: 
A) التوجه إلى المدرسة مساءً 
B) الجلوس في المنزل 
C) الذهاب مبكراً في الصباح أو فتح موضوع لا يرغب الناس في الحديث عنه 
D) تناول الطعام في المطعم",C
سبعاوي,- السبعاوي وضعية بحيث تكون الارجل مرتفعه وتشكل الرقم - السبعاوي هو السروال الداخلي ذو الشكل - اي شيء يشكل يمكن ان يطلق عليه سبعاوي,General,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
السؤال: ما هو المعنى الصحيح لكلمة ""سبعاوي""؟
الخيارات:
A) السروال الداخلي ذو الشكل 
B) حالة تتطلب وضع الأرجل مرفوعة 
C) أي شيء يشكل شكل شبه دائري 
D) جميع ما ذكر",D
سبعه شلوك,سبعة من الجن شلوك اي رفعوك عن الأرض و قذفوبك بعيدا,Southern,"المهمة: حدد المعنى الصحيح لعبارة 'سبعه شلوك'.
السؤال: ماذا تعني عبارة 'سبعه شلوك'؟
الخيارات:
أ) سبعة من الجن رفعوك عن الأرض وقذفوك بعيداً
ب) سبعة من الأصدقاء
ج) سبعة ألوان
د) سبعة أسابيع",أ
سبوق الطير,سبوق الطير : القيد الي يوضع بساق الطير,General,"### نوع السؤال: معنى
مهام: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""سبوق الطير""؟ 
الخيارات: 
A) نوع من الطيور 
B) رياضة الطيران 
C) القيد الذي يوضع بساق الطير 
D) طعام الطيور",C
سّپع,سّپع: أي نشر الملابس خصوصاً- أو أي شيء آخر عموماً- لكي تجف.,Southern,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
السؤال: ما معنى كلمة ""سّپع"" في اللهجة النجدية؟
الخيارات: 
A) إزالة الملابس 
B) نشر الملابس لكي تجف 
C) غسل الملابس 
D) طي الملابس",B
ستي و سيدي,ستي اللي هي جدتي يعني أم الأم ولا أم الأب سيدي اللي هو جدي يعني ابو الأم ولا أبو الأب,Western,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""ستي و سيدي"" في اللهجة الحجازية؟ 
الخيارات: 
A) يعني ""أمي وأبي"" 
B) يعني ""جدتي وجدي"" 
C) يعني ""أختي وأخي"" 
D) يعني ""عمتي وعمّي""",B
سحاب,"سحاب المرواني (shab) هو ملك الرياكشن و ملك التنزيل اليومي مع الحشمة . يطلق مصطلح""سحاب "" علي الشخص الذي يسبب رعب لبعض الاشخاص الذين لا يريدون الاعتراف انهم مخانيثو هطوف و منافقين و يصبغون شعرهم اوريو و فانزاتهم بنات مراهقات اعمارهم ما تعدت ال و اغانيهم زبالة و مو رابرز من الاساس.",Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط بدون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""سحاب"" في اللهجة السعودية؟ 
الخيارات: 
A) سحابة في السماء 
B) شخص يسبب الرعب للنفاق 
C) ملك المملكة 
D) شخص محب للموسيقى",B
سحبه,سحبه لها معنايين المعنى الاول انك تطنش شخص ف تقوله سحبه اما المعنى الثاني الي هو الكونتر او رف الدولاب حق المطبخ,Western,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
السؤال: ما معنى كلمة ""سحبه"" في اللهجة الحجازية؟
الاختيارات:
A) تجاهل شخص 
B) نوع من الطعام 
C) منطقة جغرافية 
D) اسم علم",A
سحلة,هي الطاسة أو الغضارة : إناء لشرب الماء واللبن (تنطق: اسْحَلَة ، بسكون السين وفتح الحاء واللام),Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""سحلة""؟ 
الخيارات: 
A) وعاء للطعام 
B) إناء لشرب الماء واللبن 
C) نوع من الفاكهة 
D) قطعة قماش",B
سرحان,الذئب,General,"### نوع السؤال: معنى 
- المهمة: اختر الإجابة الصحيحة من الاختيارات التالية.
- السؤال: ما معنى كلمة ""سرحان"" في اللهجة السعودية؟
- الخيارات: 
 A) قمر 
 B) الذئب 
 C) أسد 
 D) طائر 
-",B
سردز,سردز : سُرِقَ من السرقة للإبلاغ عن شئ تمت سرقته في الماضي,Southern,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة بدون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""سردز""؟ 
الخيارات: 
A) قام بسرقتها 
B) أُبلغ عن شيء تمت سرقته في الماضي 
C) سرقة جديدة 
D) شيئا غير ذو قيمة",B
سرويس,شكل من أشكال الصحون ، للرز / والمرقوق / والجريش . الخ .,Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""سرويس"" في اللهجة السعودية؟ 
الخيارات: 
A) نوع من الحلويات 
B) شكل من أشكال الصحون 
C) أداة طبخ 
D) نوع من الملابس",B
سريح,حبل من جلد الحيوان؟ لست متأكد من التعريف ارجو المساعدة إقراءوا المثال الموروث,Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة.
السؤال: ما معنى الكلمة ""سريح"" في اللهجة السعودية؟
الخيارات:
A) حبل من جلد الحيوان 
B) نوع من الطعام 
C) صديق مقرب 
D) مكان مخصص للسكن",A
سطل,سَطِلْ ، سُطُول ، سَطْلَه (للمؤنث). صفة تطلق على الشخص الذي هو مثل السطل يعبونه الناس بالكلام المُغرض والمحرض الذي يغذي المرء بشعور المظلومية ليصدقه ومن ثم ينتقم.,Central,"### نوع السؤال: معنى
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""سطل"" في اللهجة السعودية؟ 
الخيارات: 
A) إناء للشراب 
B) شخص يتعرض للمظلوميات ويتجاوب معها 
C) نوع من الطعام 
D) وسيلة نقل 
الجواب الصحيح: B) شخص يتعرض للمظلوميات ويتجاوب معها",
سعبول,السعبول هو اللعاب وجمعها سعابيل وسعبل الفعل من سعبول,Central,"### نوع السؤال: معنى
#### المهمة:
اختر الإجابة الصحيحة دون أي ملاحظات إضافية.
#### السؤال:
ما هو معنى كلمة ""سعبول""؟ 
 
#### الخيارات:
A) طعام 
B) لعاب 
C) مشروب 
D) حيوان 
####",B
سفاري,سفاري هي رحلة بالأدغال - رحلة قنص,General,"### نوع السؤال: معنى
- المهمة: اختر الإجابة الصحيحة.
- السؤال: ما هو معنى كلمة ""سفاري""؟
- الخيارات: 
 A) رحلة شتوية 
 B) رحلة بالأدغال - رحلة قنص 
 C) رحلة بحرية 
 D) رحلة ثقافية 
-",B
سفرقي,معناتها حلي أو اسري أو انقلعي .,Southern,"### نوع السؤال: معنى
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""سفرقي""؟ 
الخيارات: 
A) احترم نفسك 
B) انقلعي 
C) اجلس هنا 
D) تعال معي 
الجواب الصحيح: B (انقلعي)",
سفه,تجاهل.,Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""سفه""؟ 
الخيارات: 
A) حكمة 
B) تجاهل 
C) محبت 
D) قسوة",B
سلاك,سلاك وهو الانسان ذو طابع الكذاب السلوكجي ،,Central,"### نوع السؤال: معنى
المهمة: اختر الجواب الصحيح.
السؤال: ما معنى كلمة ""سلاك"" في اللهجة السعودية؟
الخيارات:
A) الإنسان الطموح 
B) الإنسان الجاد 
C) الإنسان الكذاب 
D) الإنسان المثابر",C
سلبدة,تطلق على الشخص النحيل ، أو من ينعزل عن الناس . ويمتلك شكل هزيل,Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""سلبدة""؟ 
الخيارات: 
A) شخص نحيل وعازل عن الناس 
B) شخص سمين ومتحمس 
C) شخص مرن ومجتمع 
D) شخص عصبي جداً",A
سمرجل,شجره ذات فواكه عطريه,Western,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""سمرجل""؟ 
الخيارات: 
A) شجرة ذات فواكه عطرية 
B) نوع من الزهور 
C) حيوان مفترس 
D) نوع من الصخور",A
فقع,هرب من شيء يتعبه,Western,"المهمة: حدد المعنى الصحيح لكلمة 'فقع'.
السؤال: ما هو المعنى الصحيح لكلمة 'فقع'؟
الخيارات:
أ) هرب من شيء يتعبه
ب) أكل شيء مالح
ج) نام في المساء
د) تجمع الأصدقاء",أ
شاسف,بمعنى الشخص الذي لم يضع اي نقطة كريم على بشرته,Central,"المهمة: اختر المعنى الصحيح لكلمة 'شاسف' من الخيارات التالية.
السؤال: ما معنى كلمة 'شاسف'؟
الخيارات:
أ) الشخص الذي لم يضع أي نقطة كريم على بشرته
ب) الشخص الذي يعتني ببشرته جيدًا
ج) الشخص الذي يفضل الاطلاع على الأخبار
د) الشخص القلق دائمًا",أ
شاص,سيارة شحن أو جيب عادةً بالدفع الرباعي,General,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة.
السؤال: ما معنى كلمة ""شاص"" في اللهجة السعودية؟ 
الخيارات: 
A) نوع من الفواكه 
B) حيوان 
C) سيارة شحن أو جيب عادةً بالدفع الرباعي 
D) نوع من الملابس) سيارة شحن أو جيب عادةً بالدفع الرباعي",C
شاطح,صفة بمعنى خارج عن المألوف او غير متوقع، والكلمة منها شطحة.,General,"المهمة: حدد المعنى الصحيح لكلمة 'شاطح'.
السؤال: ما معنى كلمة 'شاطح'؟
الخيارات:
أ) غريب وغير متوقع
ب) ممتاز وجيد
ج) حزين وغير سعيد
د) قصير جدا",أ
شاقص,كلمة بمعنى جاف ويابس ومتصلب,Central,"### نوع السؤال: معنى
المهمة: اختر الجواب الصحيح فقط دون ملاحظات إضافية. 
السؤال: ما معنى كلمة ""شاقص""؟ 
الخيارات: 
A) ناعم 
B) جاف ويابس ومتصلب 
C) رقيق 
D) مرن",B
شاهي,نقول عن الچاي شاهي والشكر سكر والاستكانة بيالة او فنجان لبعض الناس يقولون فنجان شاهي وفنجان قهوة.,General,"المهمة: حدد المعنى للكلمة 'شاهي'.
السؤال: ماذا تعني كلمة 'شاهي'؟
الخيارات:
أ) طعام سعودي تقليدي
ب) نوع من المشروبات الساخنة
ج) حلوى شعبية
د) نوع من الفاكهة",ب
شايش,شايش بمعنى محكور,Southern,"المهمة: حدد المعنى الصحيح للكلمة.
السؤال: ما معنى كلمة 'شايش'?
الخيارات:
أ) محكور
ب) كبير
ج) صغير
د) بعيد",أ
شبقة,شِجار (اسم),General,"### نوع السؤال: معنى
- المهمة: اختر الإجابة الصحيحة.
- السؤال: ما معنى كلمة ""شبقة"" في اللهجة السعودية؟
- الخيارات: 
 A) شجار 
 B) صداقة 
 C) فرح 
 D) زواج 
-",A
شحاد,السائل :الغريب الذي يطلب المال والطعام ومايحتاجه من الناس في الشوارع,Central,"### نوع السؤال: معنى 
- المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية. 
- السؤال: ما معنى كلمة ""شحاد""؟ 
- الخيارات: 
 A) الغني الذي يتبرع بالمال 
 B) السائل الذي يطلب المال والطعام 
 C) الشخص الذي يعمل في التجارة 
 D) الطالب الذي يدرس في الجامعة 
-",B
شحيمنات,شحيمنات هو عصفور صغير ومنقاره طويل يسمى عند اهل الشمال شحيمنات وفي موسم الربيع يصيدون منه بالمئات ويصلحون عليها كبسه وفيها فوائد,Northern,"### نوع السؤال: معنى
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
- السؤال: ما معنى كلمة ""شحيمنات""؟
- الخيارات:
 A) قطة صغيرة 
 B) عصفور صغير 
 C) شجرة طويلة 
 D) نوع من الأسماك 
-",B
