Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
مع نفسو,عبارة تصف شخص ليس لديه فكرة عن ما يتحدث أو ما يفعل و كأنه في عالم آخر.,Western,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: عندما تخبر صديقتك بأنها تتصرف كأنها في عالم آخر، يمكنك أن تقول: 'أنتِ ______.'
الخيارات:
أ) مع نفسها
ب) سعيدة جداً
ج) مشغولة جداً
د) محطمة",أ
معتتقلتيت,لاتروح لا هنا ولا هنا,Western,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: لا تذهب ___، لأنه لا ينبغي لك أن تذهب هناك.
الخيارات:
أ) إلى السوق
ب) مع الأصدقاء
ج) هنا
د) إلى المدرسة",ج
أنت خبل ؟,تعجب من غباء شخص,Western,"المهمة: أكمل الجملة بمصطلح صحيح.
السؤال: الجملة 'أنت __ ؟' تعبر عن تعجب من غباء شخص.
الخيارات:
أ) خبل 
ب) ذكي
ج) جميل
د) متفوق",أ
راكبه من رأسه إلى ساسه,بمعنى الخطأ واللوم عليه ,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: لا تلوم أحد غيره، السالفة كلها ______.
الخيارات:
أ) بدري عليك
ب) راكبه من رأسه إلى ساسه
ج) بلا بكش
د) فزعة",ب
على خشمي,تعني سأنفذ طلبك بكل سرور واهتمام مثل عبارة من عيوني,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: طلب منه يساعده، فرد عليه: ____ .
الخيارات:
أ) على خشمي
ب) اندر بره
ج) زبد له
د) سامج",أ
مقطوع من شجرة,مقطوعة من شجرة عبارة تستخدم كناية للشخص الذي ليس له عائلة ؛ لا والدين ولا إخوة وأخوات.,General,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: الشخص الذي يعتبر 'مقطوع من شجرة' يعني أنه ______.
الخيارات:
أ) له عائلة
ب) ليس له عائلة
ج) له أصدقاء كثيرون
د) يعيش وحيداً",ب
مكة حقنا,مصطلح رائج أي مكة ملكنا ونحن أولى بها من غيرنا,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يعتبر التعبير 'مكة حقنا' تعبيراً عن __________.
الخيارات:
أ) الملكية
ب) التبادل
ج) التحالف
د) الاستسلام",أ
ملتس,تطلق على الرجل ضعيف الشخصية,Central,"### نوع السؤال: املأ الفراغ 
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
- السؤال: يُطلق وصف ""ملتس"" على الشخصية. 
- الخيارات: 
 A) القوية 
 B) الضعيفة 
 C) العادية 
 D) المميزة 
-",B
الله لا يهينك,تقولها عندما تريد شيئاً او تطلب شئ بشكل مهذب,Central,"المهمة: اكمل الجملة بالعبارة الصحيحة.
السؤال: بعد ما خلص شغله، قال له: __________، عطنا المفتاح.
الخيارات:
أ) الله لا يهينك
ب) انتبه
ج) تكفى
د) وينك",أ
مَنْ,ماء,Western,"المهمة: أكمل الجملة باستخدام الكلمة الصحيحة.
السؤال: عطني _____ بارد.
الخيارات:
أ) مَنْ
ب) ماء
ج) جليد
د) هواء",أ
مِن كثركْ,منْ كثركْ : ردّ بضعُ تحقيرْ ، تعنيَ أنكَ تثقُ بنفسكَ ثقةً عمياءْ ، و أنتَ في الواقع لا تستحقّ هذه الثقهْ . بمعنىَ عامّي : واثقْ بنفسك بزياادهْ D: !,Central,"المهمة: اكمل العبارة التالية.
السؤال: أحيانًا أجد أن أصدقائي كثيرًا يقولون 'من كثرك' عندما _____ .
الخيارات:
أ) يشعرون بالثقة الزائدة.
ب) يقدمون ذاتهم بشكل ضعيف.
ج) يحاولون الإقناع.
د) يتحدثون عن مخاوفهم.",أ
من كيسي,"يعني انا مؤلف هذا الشيء ""مثل اغلب الكلمات الموجوده هنا""",General,"المهمة: أكمل الفراغ باستخدام التعبير الصحيح.
السؤال: إذا سألتني عن مصدر كلامي وقلت لك، ____، فأنا أشير إلى أنني مؤلفه.
الخيارات:
أ) كتبته
ب) من كيسي
ج) أخذته من الآخرين
د) لا أدري",ب
من له عين وراس سوى سواة الناس,أي أنه يقلد الناس .,Central,"المهمة: املأ الفراغ بالكلمة الصحيحة:
السؤال: العبارة 'من له عين وراس ______ سواة الناس' تعني أنه يقلد الناس.
الخيارات:
أ) سوى
ب) غير
ج) بدل
د) أكثر",أ
من ورا التريلات,التريلات جمع تريلة ويقصد بهذه العبارة عندما يحاول أحد تمرير معنى معين بدون أن ينتبه أحد أو كرسالة مبطنة داخل الكلمات,General,"المهمة: املأ الفراغ في الجملة التالية.
السؤال: يستخدم الناس عبارة ""من ورا التريلات"" عندما يحاولون __________.
الخيارات:
أ) التصريح بالرأي
ب) تحميل المسؤولية
ج) تمرير معنى غير واضح
د) توضيح الفكرة بشكل صريح",ج
منتب,منتب= لفظ منحوت لتعبير : ما انت ب . ، وتأتي بمعنى : لست ب ،ايضا. ويستخدم في اللهجات النجدية عمومًا. وهناك ايضا ، منب/مانيب=ما انا ب،منتيب/منتي ب= ما انتِ ب، محنب= ما نحن ب، مهب= ما هم ب، ما هو ب، ما هي ب.,Central,"### نوع السؤال: املأ الفراغ
- المهمة: اختر الجواب الصحيح.
- السؤال: والله انك صاحي.
- الخيارات: 
 A) منتب 
 B) مهب 
 C) نحب 
 D) كفو 
-",A
لا هنت,تحمل طابع الامتنان والشكر تقولها لمن تطلب منه شيئا او خدمك ومعناها,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: إذا خلصت الشغل بسرعة، ____ .
الخيارات:
أ) لا هنت
ب) اندر بره
ج) زبد له
د) سامج",أ
موتٍ حمر,فتاة جميلة جداً (مزيونة),General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يمكن استخدام العبارة 'موتٍ حمر' لوصف ______.
الخيارات:
أ) ثعبان
ب) فتاة
ج) شجرة
د) منزل",ب
موت يا حمار,تنقال لمن الشي ما يرضى يسير,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: عبارة ""موت يا حمار"" تأتي في سياق . 
الخيارات: 
A) التشجيع 
B) الاستياء 
C) الهزل 
D) الشكر",B
موعد خواجة,تطلق على الموعد الذي لا يتأخر عنه أصحابه .,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: إذا قال خالد لعبدالعزيز: 'موعد خواجة والا بتأخرني؟' فإنه يعني أن الموعد ____.
الخيارات:
أ) غير محدد
ب) محدد بالضبط
ج) يمكن تغييره
د) غير مهم",ب
ناكسن للمرح,الشيء الذي لا فائدة منه,Central,"### نوع السؤال: املأ الفراغ 
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: في جملتك، يمكنك استخدام العبارة ""ناكسن للمرح"" لوصف شيء . 
الخيارات: 
A) ممتع 
B) غير مجدي 
C) جديد 
D) مبهج",B
نبي: أبي : يبي,إذا أراد الشخص أن يعبر عن ما يريد أو يحتاج ،,Central,"المهمة: أكمل الجملة التالية.
السؤال: عندما نقول 'نبي قلم'، فهذا يعني أننا _____ قلم.
الخيارات:
أ) نريد
ب) نطرد
ج) نحب
د) نأخذ",أ
نبي نروح,سوف نذهب (جمع),Central,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: ________ للبيت.
الخيارات:
أ) نبي نروح
ب) نريد
ج) نأتي
د) نلتقي",أ
نشر الغسيل,كلام المفروض ما ينقال ( سر ) -مثل معنى: كب العشا-,Western,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: يستخدم الناس عبارة 'نشر الغسيل' للإشارة إلى __________.
الخيارات:
أ) الحديث عن الأمور الشخصية
ب) نشر الملابس في الشمس
ج) الترفيه عن الأصدقاء
د) تنظيف المنزل",أ
نفوس,وهي حالة من النرفزة والتوتر الشديد ويصيب غالبا المدخنين او اصحاب النوم الكثير,Central,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: الشخص الذي يعاني من _________________ قد يحتاج لمساعدة.
الخيارات:
أ) الفرح
ب) نفوس
ج) السعادة
د) الأمل",ب
نهار نيه,يقصد بها لما يقول نهار نيه يعني ذاك اليوم اي يتحدث عن شيئ ماضي,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يقول أحدهم 'جانا محمد ________'، فإنه يعني أن محمد جاء قبل فترة.
الخيارات:
أ) نهار نيه
ب) اليوم
ج) غداً
د) الساعة",أ
نومة وتمغيطة احسن من فرح طيطة,تعني هذه العبارة ان النوم افضل بكثير من الذهاب للعرس او الحفلة,Western,"المهمة: املأ الفراغ بما يناسب.
السؤال: عبارة 'نومة وتمغيطة ______ من فرح طيطة' تعني أن النوم أفضل من الذهاب للحفلات.
الخيارات:
أ) احسن
ب) اسوأ
ج) نفس
د) غير مهم",أ
هاه وش قلت ؟,تأتي بمعنيين : الأول : سؤال الشخص لإعادة كلامه لعدم مقدرة الاستماع له الثاني : لطلب الرد بعد إعطائة امر يخير به أو رأيًا .,Central,"المهمة: املأ الفراغ باستخدام العبارة المناسبة.
السؤال: عندما أطلب منك إعادة كلامك، أقول: 'هاه ____؟'
الخيارات:
أ) وش تقول
ب) على أي حال
ج) من فضلك
د) أين تقول",أ
هبلي جغمه,اعطني لأشرب قليلا,Southern,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: في الجملة ""هبلي من عصيرك""، الكلمة المناسبة هي: 
الخيارات: 
A) طعام 
B) جغمه 
C) ملح 
D) ماء",B
هتيم,سبة تطلق للطعن في نسب بعض القبائل,Central,"المهمة: أكمل الجملة التالية.
السؤال: تُستخدم كلمة 'هتيم' للدلالة على _____ بعض القبائل.
الخيارات:
أ) احترام
ب) قلة
ج) طعن في نسب
د) تساؤل عن",ج
جعلني قبلك,هي دعوة بالبقاء والعمر الطويل للشخص المُخاطَب، ومعناها الحرفي ( أسأل الله أن يجعلني أموت قبلك ),Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يوم شافت ولدها مريض، حضنته وقالت له: __________ يا يمه!
الخيارات:
أ) جعلني قبلك
ب) لا تبكي
ج) قوم خذ دواك
د) الله يهديك",أ
الناس تتانو,اي يعني تخابروا,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: أول ما انتشر الخبر، ____ وتواصلوا مع بعض.
الخيارات:
أ) الناس تتانو
ب) اندر بره
ج) زبد له
د) سامج",أ
اتكئ على مركى,يعني  استند على المسند أو اتكئ على الوسادة الكبيرة ,General,"المهمة: أكمل الجملة التالية.
السؤال: بعد ما خلص الغدا، دخل المجلس و__________ ينتظر القهوة.
الخيارات:
أ) اتكئ على مركى
ب) قام يغسل الصحون
ج) راح يشتغل
د) طفى النور",أ
طرحني النوم,غلبني النعاس,Northern,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: كنت ناوي أكمل السالفة، لكن ____ فجأة.
الخيارات:
أ) طرحني النوم
ب) اندر بره
ج) زبد له
د) سامج",أ
تقوله صاز,تعني هل ماتقوله صحيح,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي للتأكد).
السؤال: قال خبر غريب، فقلت له: ""_____؟""
الخيارات:
أ) شرواك الطيب
ب) تقوله صاز
ج) بدري عليك
د) عطنا الزبدة",ب
هو تامعك الوساه,هي تعتبر من اللهجه الجنوبيه من الباحه تحديداً هَوْ = لماذا تامعك = هذه السواه \ السوات = الفعل,Southern,"المهمة: املأ الفراغ بما يناسب.
السؤال: عبارة 'هو تامعك _____' تعني لماذا تفعل هذا.
الخيارات:
أ) الوساه
ب) الغلط
ج) العيد
د) التمر",أ
هيا تعال. هيا روح بله!,"ازهوجه كروية , هيا تعال: كان نداء تحدي أطلقه نادي الهلال السعودي ضد غريمه النصر. هيا روح بله: فكانت هذه العبارة رد النداء. فهزم النصر الهلال. وكانت ردت الجماهير النصرواية: هيا روح بله!.",Central,"المهمة: أكمل الفراغ بالكلمة المناسبة: 'هيا تعال. هيا _____ بله!'
السؤال: ما هي الكلمة المناسبة لاكتمال العبارة؟
الخيارات:
أ) روح
ب) قوية
ج) انتظر
د) شجع",أ
بوه مير نيم,تعني موجود لكنه نائم.,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: سألت عنه وقالوا لي إنه ____ وما يقدر يرد الآن.
الخيارات:
أ) بوه مير نيم
ب) اندر بره
ج) زبد له
د) سامج",أ
اتعيا به,احسن التعامل معه,Southern,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: إذا تعاملت معاه، حاول ____ لأنه حساس.
الخيارات:
أ) اتعيا به
ب) زبد له
ج) اندر بره
د) سامج",أ
و لوْ قلته,"و لوْ قلته : تعنيَ أنيَ واثقٌ بنفسيَ "" دون مدحٍ منك "" . و بالعاميَ : أدريَ أنيَ قدّ هالمدح بدونْ ما تقوله D: و قدْ يعنيَ القائلْ أنكَ بمدحكَ هذا لن تُغيّر شيئاً من قراراتيَ / قناعاتيْ . بالعاميَ : لا تكثّر حكيَ :q",Central,"المهمة: املأ الفراغ بما يناسب:
السؤال: عبارة 'و لوْ قلته' تعني ________ بنفسي.
الخيارات:
أ) غير واثق
ب) واثق
ج) غير مهتم
د) قابل للتغيير",ب
واتسبديه,وا للتضجر تسبديه تعني كبدي (الكبد) وتقال للتضجر,Central,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: عندما أقول 'واتسبديه'، فإنني أعبر عن ______.
الخيارات:
أ) الفرح
ب) التضجر
ج) السعادة
د) الحزن",ب
واطر جيبي طراه,يامصيبتاه,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عبارة 'واطر جيبي طراه' تعبر عن ________.
الخيارات:
أ) الحزن
ب) الفرح
ج) المفاجأة
د) التعجب",أ
واكدربة كدربة بياع الشوربة,هي من الاهازيج الحجازية القديمة التي يقولها الاطفال اثناء اللعب بالارجوحة خصوصا في شهر رمضان,Western,"المهمة: أكمل الفراغ بالعبارة الصحيحة.
السؤال: تستخدم عبارة 'واكدربة كدربة بياع الشوربة' بشكل شائع في ____ أثناء الألعاب الرمضانية.
الخيارات:
أ) المدارس
ب) المنازل
ج) الشوارع
د) المنتزهات",ب
والنِعمْ,درَج عند اهل الجزيرة العربية وخاصة السعودية  انك اذا قابلت شخص لأول مرة وذكر لك اسمه الكامل ان ترد عليه والنعم (ليس في كل الحالات)، أي انعم بك. ويرد الطرف الآخر انعم بحالك او ما عليك زود,General,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: عندما قابلت الشخص وذكر لي اسمه، رددت عليه بـ '_______'.
الخيارات:
أ) شكراً
ب) والنِعمْ
ج) مع السلامة
د) تفضل",ب
وانا عمك,وانا عمك عباره تقال عند التباهي وتصغير الذي امامك,Central,"المهمة: إكمال الفراغ في الجملة بما يناسب العبارة 'وانا عمك'.
السؤال: تستخدم عبارة 'وانا عمك' في المواقف التي تتطلب ______.
الخيارات:
أ) الاعتذار
ب) الفخر
ج) التهكم
د) المزاح",ب
وجعان,وجعان أي به سقمٌ أو علة ، ويطلق على من يتصرف تصرف غير مقبول,Central,"المهمة: أكمل الجملة التالية بالكلمة الصحيحة.
السؤال: عندما يتصرف الشخص بشكل غير مقبول، قد نقول عنه أنه _____.
الخيارات:
أ) سعيد
ب) مشغول
ج) وجعان
د) نشيط",ج
وجهه مغسول بمرق,تقال للشخص عديم الحياء والذي لا يخجل من ارتكاب العيب امام الناس.,General,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: الشخص الذي لا يخجل من ارتكاب العيب يمكن أن نقول عنه 'وجهه مغسول ب______'.
الخيارات:
أ) عطر
ب) مرق
ج) ماء
د) طين",ب
وحشتيني مرة,انا احبك،وحشتيني مرة,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عبارة 'وحشتيني مرة' تعني 'أنا ________'.
الخيارات:
أ) أحبك
ب) أكرهك
ج) أريدك
د) أفكر فيك",أ
ياخي وخر,بمعنى ابتعد عني او ابتعد عن طريقي,Western,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: عندما أريد أن أقول لشخص ما أن يبتعد، أقول له: ____.
الخيارات:
أ) تعال هنا
ب) ياخي وخر
ج) اجلس هناك
د) انتظرني",ب
ودي به,ودي به بمعني : اريد ابي_ اعطني او كيفي,General,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: أنا _____ أشرب من الماء.
الخيارات:
أ) ودي
ب) أريد
ج) أحب
د) أرى",أ
وراو تسذا,وراو تسذا تعني لماذا هكذا ؟ وعادة مايستخدمها القصمان أي اهالي منطقة القصيم .,Central,"المهمة: أكمل الجملة التالية.
السؤال: عندما يسألني أحمد 'وراو تسذا'، فإنه يسألني ______.
الخيارات:
أ) لماذا هكذا؟
ب) ما رأيك؟
ج) كيف حالك؟
د) ماذا تفعل؟",أ
وسع الصدر,فرح طالع ضاق الصدر ، استانس,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أخبرتني بالخبر، ____ صدر الوالد.
الخيارات:
أ) ضاق
ب) وسع
ج) ضاع
د) زاد",ب
وَشْ تِحَسْ بَهْ ؟,بماذا تشعر وأنت تفعل هذا الفعل ؟ أو بماذا شعرت ؟ أو ما هو شعورك ؟,Western,"المهمة: املأ الفراغ بالإجابة الصحيحة.
السؤال: 'وَشْ تِحَسْ بَهْ ؟' تعني _____ الشعور الذي تشعر به.
الخيارات:
أ) عن
ب) ما
ج) إلى
د) في",ب
وش تحس فيه ؟,عبارة تستخدم عند التعبير في حالة الاندهاش من فعل غريب من أحد الأشخاص . أو احد الأشخاص يسوي شيء ماله داعي وغريب .,Central,"المهمة: استخدم الجملة: 'في موقف محرج، يمكن أن تسأل الشخص: ___ ?'
السؤال: ما الذي يمكنك وضعه في الفراغ؟
الخيارات:
أ) كيف حالك
ب) وش تحس فيه
ج) أين تذهب
د) ماذا تفعل",ب
وش حيفك؟,"""وش حيفك؟"" تعني ما الفرق بينك وبيننا؟ وهنا تُقال للشخص الذي الذي يحاول التبهاي بين الناس بشيء أو أخذ شيئاً ولم يستطع الآخر أخذه فيقول ""وش حيف ذاك ياخذ وانا ما أخذ؟""",Central,"المهمة: أكمل الجملة التالية.
السؤال: عبارة 'وش حيفك؟' تعني __________.
الخيارات:
أ) ماذا تفعل؟
ب) ما الفرق بينك وبيننا؟
ج) أين تذهب؟
د) كيف حالك؟",ب
وش عبيت,كلمة تقال اكثر الاحيان في المنطقه الجنوبيه والباديه خاصة من اهل الجنوب ومعناها ماذا فعلت,Southern,"المهمة: املأ الفراغ بالمصطلح المناسب.
السؤال: عندما تسأل شخصًا 'وش عبيت'، فهذا يعني أنك تسأله عن ______.
الخيارات:
أ) مشكلته
ب) حجوزاته
ج) ما فعله
د) مهنته",ج
وش لونك,كيف حالك ؟,Eastern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يستخدم الناس عبارة 'وش لونك' للتعبير عن _____ .
الخيارات:
أ) الاستفهام عن الحال
ب) التعرف على الشخص
ج) الدعوة للغداء
د) التأكيد على الصداقة
الإجابة الصحيحة:",
في أمان الله,يعني مع السلامه بطلع او بمشي,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة المناسبة لملء الفراغ. 
السؤال: ""عندما يودع الأصدقاء بعضهم يقولون: وش نقول شبابب ."" 
الخيارات: 
A) مع السلامة 
B) إلى اللقاء 
C) مرحباً 
D) كيف حالكم.",A
وش يحس به,يعني: ماذ يحس فيه تقال للذي يعمل شيئا غريبا يذهل الكل فيقولون له وش يحس به فلان؟,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: يُقال عندما يمارس شخص شيئًا غريبًا، يُسأل عنه ""وش به"". 
الخيارات: 
A) يشعر 
B) يتحدث 
C) يفكر 
D) يرى.",A
وش يقالك,تأتي بمعنى وش تحس به,Central,"المهمة: املأ الفراغ بالنمط الصحيح.
السؤال: عبارة 'وش يقالك' تعني ______.
الخيارات:
أ) كيف حالك؟
ب) ما تحس به؟
ج) أين تذهب؟
د) ماذا تفعل؟",ب
وشلونك (وش لونك),كيف حالك,Central,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
السؤال :عند ملاقاتك لصديقك تقول له: ""أهلا، ؟""
 الخيارات :
A) وشلونك 
B) وش ذا 
C) وينك 
D) أيش جابك",A
فلان رقله,غير كامل العقل,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: من تصرفاته غير المفهومة قالوا: ___ .
الخيارات:
أ) فلان رقله
ب) ما عليك زود
ج) صام الخشة
د) أسفر الصبح",أ
صام الخشة,تقال على الشخص لشدة تركيزه في أمر ما,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: من كثر تركيزه في المذاكرة، كأنه ___ .
الخيارات:
أ) اندر بره
ب) صام الخشة
ج) عطنا الزبدة
د) ما عليك زود",ب
ولد العكاريت,ولد العكاريت تقال للمراهق المتمرّد على أهله ، وأظنها من العفاريت أو من عكر : ذكر ابن دريد : تعاكر القوم: اختلطوا في خصومةٍ أو نَحْوها. أو المعكرين صفو شيء ما فهو ابنهم,Central,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: أحيانا أسمع والدتي تقول لي: 'لا تكن مثل _____.'
الخيارات:
أ) العكاريت
ب) الصالحون
ج) الشجعان
د) الناجحين",أ
وه بس,وه بس هي للاعجاب بشي ما او إذا لم يعجبك شي ما يعني في كل الحالتين صحيحه,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا رأيت شيئًا جميلًا، يمكنك أن تقول: '______'.
الخيارات:
أ) كيف حالك؟
ب) وه بس
ج) لا أعلم
د) نعم",ب
وه يا ندامة,تقال للتعبير عن الصدمة عند سماع خبر مفاجئ,Western,"المهمة: أكمل الفراغ باستخدام العبارة المناسبة.
السؤال: عندما سمعت عن الحادث، قلت '______'.
الخيارات:
أ) الله يعين
ب) وه يا ندامة
ج) ما أدري
د) إن شاء الله",ب
وهاتك يا,يعني قعد يسوي شي ويباالغ فيه بزياادة.,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط بدون أي ملاحظات إضافية. 
السؤال: استخدم عبارة ""وهاتك يا"" في الجملة التالية: ""عزيزي، الطفل كان يلعب في الحديقة ."" 
الخيارات: 
A) وجاته يا 
B) وضربني تحت ركبتي 
C) ووهاتك يا يبكي 
D) وكان مبتسم",C
ويش اللي حارق رزك؟,بطريقة تهكمية أي لماذا أنت غيران وغضبان.,Central,"المهمة: أكمل العبارة التالية بما يناسب.
السؤال: عندما يسألني أحدهم 'ويش اللي حارق رزك؟'، فإنه يقصد __________.
الخيارات:
أ) لماذا أنت غاضب؟
ب) هل أنت جائع؟
ج) لماذا أنت مشغول؟
د) هل تلعب مباراة؟",أ
وين هوبه,كلمة تعني اين هو أو اين مكانه هذه الكلمة تجدها مستخدمة عند أهل القصيم ومنتشرة ايضاً عند معظم سكان القصيم,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: 'وين _____؟' تعني أين هو؟
الخيارات:
أ) هوبه
ب) هناك
ج) رايح
د) وين
الإجابة الصحيحة:",
وينتس بوه,وتعني اين انتي,Central,"المهمة: أكمل الجملة بالعبارة الصحيحة.
السؤال: عندما دخل أحمد جلس يقول '____' يامنى.
الخيارات:
أ) وينتس بوه
ب) كيف حالك
ج) وش صاير
د) متى تجين",أ
الجو يهبل,الجو جميل اليوم,Western,"المهمة: أكمل الفراغ بما يتناسب مع العبارة 'ي نهر ابيض'.
السؤال: يمكننا القول أن 'الجو يهبل' تشير إلى أن ____ في الخارج.
الخيارات:
أ) الجو يبشر بالخير
ب) السماء ملبدة بالغيوم
ج) الرياح قوية وعاصفة
د) السماء تمطر بغزارة",أ
يا بري حالي برياه,"تعني عزاء للنفس يعني مثلا رأيت موقف محزن وأثر فيك تقول: ""يابري حالي برياه"" مواساه لنفسك او تقال عزاء للنفس خاصة واكثر مايقولها كبار السن مثلا تجي عجوز تبي تقوم وماتقدر من اللام القدم والركبة . فتقول ""ماعاد فيني شده وحيل، يابري حالي برياه.""",Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أشعر بالحزن، أقول: 'يا بري حالي ____'.
الخيارات:
أ) سعيد
ب) برياه
ج) قوي
د) ضعيف",ب
يا حليلتس حليلاه,كلمه يا حليلتس حليلاه كلمه تشبه ما اجملك او ما اروعك,Central,"المهمة: املأ الفراغ بما يناسب الجملة.
السؤال: إذا قال شخص 'يا حليلتس حليلاه'، فإنه يشير إلى ___ .
الخيارات:
أ) الأشياء السلبية
ب) الأشياء الجميلة
ج) الأشياء المؤلمة
د) الأشياء العادية",ب
يا حليليك,"- تعني ""ما أجملك!"". - وقد تعني ""ما أطيبك!"". أصل الكلمة حلو، وتصغيرها حليل، واضيفت كاف الخطاب وأصبحت صورتها النهاية هكذا ""حليليك"".",Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة دون ملاحظات إضافية. 
السؤال: استخدم العبارة ""يا حليليك"" في الجملة التالية: ""، مشكور على المساعدة."" 
الخيارات: 
A) يا مرحبا 
B) يا حليليك 
C) كيف حالك 
D) تفضل",B
يا خلف امي,مصطلح حساوي ( احسائي ) يطلق على الشخص العزيز الغالي عادة تطلقه الجدات على احفادهن تعبيرا عن شدة حبهن لهم وهو يقابله في اللغة العربية الفصحى : ياخليفة أمي,Eastern,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: يقول الحفيد لجده: 'يا _____ اميه'.
الخيارات:
أ) خلف
ب) أحمد
ج) علي
د) سعيد",أ
يا سلاام عليج,كلمه تقال عندما يفعل الشخص شئ مبهر,Central,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: عندما رأى الشخص المعجزة، قال: '______'.
الخيارات:
أ) يا سلاام عليج
ب) وينك
ج) اشفيك
د) ما أصدق",أ
يا صبر الارض,يا صبر الارض هي عبارة نستخدمها عندما يكون الشخص اللذي نكلمه لا يفهم او يتغابى بأجوبته,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عند الحديث مع شخص لا يفهم، قد تقول له: '______ الارض'.
الخيارات:
أ) يا صبر
ب) يا جميلة
ج) يا غالي
د) يا سيدي",أ
يا عزتي.,"يا عزتي: أسلوب رحمة. وتعني ""يا للشفقة"". طالع يا بري حالي برياه",Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب المناسب لملء الفراغ.
السؤال: تعني عبارة ""يا عزتي"" في اللهجة السعودية . 
الخيارات: 
A) تعبير عن الفخر 
B) تعبير رحمة 
C) تعبير عن الغضب 
D) تعبير عن السعادة",B
يا عقوبتي,يقولها الشخص عندما يكون منزعجاً,Central,"المهمة: اكمل الجملة باستخدام العبارة الصحيحة.
السؤال: يستخدم البعض عبارة 'يا عقوبتي' عندما يشعرون ب______.
الخيارات:
أ) الانزعاج
ب) الفخر
ج) السعادة
د) الوحدة",أ
يا عمي سري,يعني انقلع او روخر,Western,"المهمة: أكمل الفراغ بالعبارة المناسبة.
السؤال: عندما أريد أن أطلب من أحدهم أن يبتعد، أقول: 'يا عمي ______'.
الخيارات:
أ) سري
ب) تعال
ج) انتبه
د) استرح",أ
